0	0	485
0	40000	108
40000	40000	305
0	80000	27
40000	80000	68
80000	80000	201
0	120000	27
40000	120000	33
80000	120000	57
120000	120000	465
0	160000	26
40000	160000	34
80000	160000	39
120000	160000	447
160000	160000	549
0	200000	24
40000	200000	9
80000	200000	31
120000	200000	69
160000	200000	148
200000	200000	408
0	240000	12
40000	240000	8
80000	240000	13
120000	240000	47
160000	240000	48
200000	240000	85
240000	240000	312
0	280000	12
40000	280000	7
80000	280000	8
120000	280000	28
160000	280000	41
200000	280000	41
240000	280000	125
280000	280000	317
0	320000	8
40000	320000	12
80000	320000	14
120000	320000	29
160000	320000	31
200000	320000	18
240000	320000	19
280000	320000	46
320000	320000	231
0	360000	14
40000	360000	14
80000	360000	15
120000	360000	22
160000	360000	21
200000	360000	27
240000	360000	20
280000	360000	37
320000	360000	80
360000	360000	396
0	400000	7
40000	400000	2
80000	400000	4
120000	400000	8
160000	400000	8
200000	400000	5
240000	400000	9
280000	400000	12
320000	400000	18
360000	400000	87
400000	400000	203
0	440000	3
40000	440000	5
80000	440000	4
120000	440000	1
160000	440000	5
200000	440000	2
240000	440000	6
280000	440000	14
320000	440000	12
360000	440000	39
400000	440000	134
440000	440000	461
0	480000	2
40000	480000	7
80000	480000	2
120000	480000	4
160000	480000	4
200000	480000	6
240000	480000	2
280000	480000	8
320000	480000	8
360000	480000	22
400000	480000	34
440000	480000	80
480000	480000	443
0	520000	7
40000	520000	5
80000	520000	1
120000	520000	1
160000	520000	12
200000	520000	6
240000	520000	6
280000	520000	3
320000	520000	11
360000	520000	25
400000	520000	37
440000	520000	82
480000	520000	188
520000	520000	480
0	560000	0
40000	560000	4
80000	560000	3
120000	560000	4
160000	560000	4
200000	560000	3
240000	560000	3
280000	560000	8
320000	560000	7
360000	560000	21
400000	560000	33
440000	560000	53
480000	560000	60
520000	560000	115
560000	560000	640
0	600000	5
40000	600000	6
80000	600000	1
120000	600000	4
160000	600000	5
200000	600000	3
240000	600000	2
280000	600000	5
320000	600000	4
360000	600000	11
400000	600000	24
440000	600000	35
480000	600000	41
520000	600000	60
560000	600000	166
600000	600000	432
0	640000	2
40000	640000	6
80000	640000	7
120000	640000	1
160000	640000	8
200000	640000	5
240000	640000	3
280000	640000	10
320000	640000	3
360000	640000	17
400000	640000	19
440000	640000	21
480000	640000	40
520000	640000	38
560000	640000	65
600000	640000	126
640000	640000	362
0	680000	7
40000	680000	1
80000	680000	3
120000	680000	5
160000	680000	7
200000	680000	3
240000	680000	6
280000	680000	10
320000	680000	5
360000	680000	16
400000	680000	20
440000	680000	33
480000	680000	34
520000	680000	50
560000	680000	55
600000	680000	67
640000	680000	126
680000	680000	428
0	720000	2
40000	720000	2
80000	720000	0
120000	720000	3
160000	720000	5
200000	720000	3
240000	720000	1
280000	720000	4
320000	720000	3
360000	720000	11
400000	720000	14
440000	720000	29
480000	720000	39
520000	720000	29
560000	720000	47
600000	720000	51
640000	720000	37
680000	720000	108
720000	720000	483
0	760000	3
40000	760000	3
80000	760000	2
120000	760000	2
160000	760000	3
200000	760000	4
240000	760000	3
280000	760000	0
320000	760000	3
360000	760000	11
400000	760000	26
440000	760000	53
480000	760000	36
520000	760000	53
560000	760000	39
600000	760000	36
640000	760000	30
680000	760000	31
720000	760000	108
760000	760000	411
0	800000	2
40000	800000	0
80000	800000	3
120000	800000	5
160000	800000	5
200000	800000	4
240000	800000	5
280000	800000	10
320000	800000	1
360000	800000	17
400000	800000	9
440000	800000	12
480000	800000	9
520000	800000	12
560000	800000	29
600000	800000	11
640000	800000	10
680000	800000	16
720000	800000	25
760000	800000	63
800000	800000	279
0	840000	5
40000	840000	4
80000	840000	5
120000	840000	13
160000	840000	10
200000	840000	7
240000	840000	6
280000	840000	11
320000	840000	15
360000	840000	18
400000	840000	15
440000	840000	16
480000	840000	22
520000	840000	16
560000	840000	14
600000	840000	11
640000	840000	20
680000	840000	19
720000	840000	23
760000	840000	18
800000	840000	124
840000	840000	392
0	880000	3
40000	880000	2
80000	880000	4
120000	880000	5
160000	880000	8
200000	880000	0
240000	880000	8
280000	880000	5
320000	880000	12
360000	880000	12
400000	880000	10
440000	880000	11
480000	880000	13
520000	880000	15
560000	880000	10
600000	880000	15
640000	880000	14
680000	880000	16
720000	880000	8
760000	880000	17
800000	880000	31
840000	880000	94
880000	880000	247
0	920000	7
40000	920000	5
80000	920000	8
120000	920000	7
160000	920000	7
200000	920000	14
240000	920000	8
280000	920000	4
320000	920000	10
360000	920000	18
400000	920000	14
440000	920000	13
480000	920000	10
520000	920000	13
560000	920000	14
600000	920000	15
640000	920000	20
680000	920000	13
720000	920000	10
760000	920000	22
800000	920000	21
840000	920000	39
880000	920000	95
920000	920000	453
0	960000	4
40000	960000	6
80000	960000	6
120000	960000	3
160000	960000	4
200000	960000	6
240000	960000	5
280000	960000	11
320000	960000	9
360000	960000	15
400000	960000	6
440000	960000	13
480000	960000	11
520000	960000	7
560000	960000	9
600000	960000	11
640000	960000	10
680000	960000	11
720000	960000	4
760000	960000	15
800000	960000	40
840000	960000	33
880000	960000	34
920000	960000	115
960000	960000	352
0	1000000	3
40000	1000000	3
80000	1000000	1
120000	1000000	7
160000	1000000	5
200000	1000000	11
240000	1000000	9
280000	1000000	6
320000	1000000	2
360000	1000000	8
400000	1000000	7
440000	1000000	6
480000	1000000	5
520000	1000000	8
560000	1000000	5
600000	1000000	4
640000	1000000	8
680000	1000000	12
720000	1000000	10
760000	1000000	8
800000	1000000	17
840000	1000000	18
880000	1000000	15
920000	1000000	33
960000	1000000	73
1000000	1000000	233
0	1040000	2
40000	1040000	2
80000	1040000	4
120000	1040000	6
160000	1040000	3
200000	1040000	6
240000	1040000	6
280000	1040000	10
320000	1040000	9
360000	1040000	17
400000	1040000	14
440000	1040000	9
480000	1040000	7
520000	1040000	5
560000	1040000	12
600000	1040000	10
640000	1040000	9
680000	1040000	10
720000	1040000	8
760000	1040000	7
800000	1040000	15
840000	1040000	21
880000	1040000	20
920000	1040000	28
960000	1040000	57
1000000	1040000	108
1040000	1040000	407
0	1080000	3
40000	1080000	2
80000	1080000	4
120000	1080000	2
160000	1080000	4
200000	1080000	6
240000	1080000	3
280000	1080000	6
320000	1080000	6
360000	1080000	11
400000	1080000	8
440000	1080000	9
480000	1080000	7
520000	1080000	6
560000	1080000	12
600000	1080000	3
640000	1080000	5
680000	1080000	8
720000	1080000	4
760000	1080000	13
800000	1080000	7
840000	1080000	8
880000	1080000	17
920000	1080000	19
960000	1080000	15
1000000	1080000	24
1040000	1080000	78
1080000	1080000	252
0	1120000	2
40000	1120000	1
80000	1120000	2
120000	1120000	2
160000	1120000	7
200000	1120000	1
240000	1120000	4
280000	1120000	6
320000	1120000	3
360000	1120000	9
400000	1120000	11
440000	1120000	20
480000	1120000	6
520000	1120000	12
560000	1120000	8
600000	1120000	8
640000	1120000	13
680000	1120000	12
720000	1120000	12
760000	1120000	25
800000	1120000	11
840000	1120000	11
880000	1120000	17
920000	1120000	22
960000	1120000	35
1000000	1120000	21
1040000	1120000	34
1080000	1120000	88
1120000	1120000	473
0	1160000	4
40000	1160000	0
80000	1160000	1
120000	1160000	2
160000	1160000	4
200000	1160000	2
240000	1160000	3
280000	1160000	4
320000	1160000	8
360000	1160000	9
400000	1160000	7
440000	1160000	7
480000	1160000	7
520000	1160000	0
560000	1160000	5
600000	1160000	2
640000	1160000	6
680000	1160000	5
720000	1160000	7
760000	1160000	8
800000	1160000	11
840000	1160000	14
880000	1160000	19
920000	1160000	20
960000	1160000	17
1000000	1160000	17
1040000	1160000	38
1080000	1160000	25
1120000	1160000	78
