0	0	541
0	40000	130
40000	40000	291
0	80000	40
40000	80000	83
80000	80000	228
0	120000	39
40000	120000	33
80000	120000	73
120000	120000	539
0	160000	28
40000	160000	46
80000	160000	55
120000	160000	520
160000	160000	655
0	200000	16
40000	200000	29
80000	200000	16
120000	200000	83
160000	200000	158
200000	200000	439
0	240000	19
40000	240000	16
80000	240000	21
120000	240000	44
160000	240000	60
200000	240000	114
240000	240000	385
0	280000	19
40000	280000	18
80000	280000	13
120000	280000	37
160000	280000	51
200000	280000	47
240000	280000	157
280000	280000	361
0	320000	9
40000	320000	10
80000	320000	8
120000	320000	13
160000	320000	28
200000	320000	32
240000	320000	36
280000	320000	61
320000	320000	237
0	360000	11
40000	360000	16
80000	360000	18
120000	360000	33
160000	360000	22
200000	360000	37
240000	360000	33
280000	360000	63
320000	360000	101
360000	360000	442
0	400000	7
40000	400000	2
80000	400000	6
120000	400000	12
160000	400000	13
200000	400000	11
240000	400000	17
280000	400000	13
320000	400000	26
360000	400000	96
400000	400000	245
0	440000	5
40000	440000	1
80000	440000	6
120000	440000	11
160000	440000	14
200000	440000	6
240000	440000	9
280000	440000	8
320000	440000	9
360000	440000	41
400000	440000	97
440000	440000	296
0	480000	3
40000	480000	4
80000	480000	6
120000	480000	11
160000	480000	5
200000	480000	7
240000	480000	8
280000	480000	6
320000	480000	11
360000	480000	26
400000	480000	36
440000	480000	95
480000	480000	324
0	520000	5
40000	520000	5
80000	520000	5
120000	520000	14
160000	520000	10
200000	520000	16
240000	520000	10
280000	520000	13
320000	520000	6
360000	520000	27
400000	520000	48
440000	520000	75
480000	520000	120
520000	520000	416
0	560000	9
40000	560000	6
80000	560000	4
120000	560000	10
160000	560000	12
200000	560000	7
240000	560000	10
280000	560000	12
320000	560000	13
360000	560000	27
400000	560000	32
440000	560000	29
480000	560000	48
520000	560000	112
560000	560000	464
0	600000	8
40000	600000	4
80000	600000	7
120000	600000	12
160000	600000	7
200000	600000	8
240000	600000	8
280000	600000	12
320000	600000	14
360000	600000	22
400000	600000	23
440000	600000	30
480000	600000	30
520000	600000	42
560000	600000	97
600000	600000	347
0	640000	8
40000	640000	8
80000	640000	8
120000	640000	6
160000	640000	7
200000	640000	8
240000	640000	9
280000	640000	9
320000	640000	12
